,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Romania,Romania,GPE,-0.11764706,0.29411765,en,1.70000000,4050939-4,798549,A,46.00000000,25.00000000,EUROPE,Romania,WCE
Oltedal,Oltedal,GPE,0.00000000,0.00000000,en,1.70000000,,3143573,P,58.82860000,6.03687000,EUROPE,Norway,NEU
Finland,Finland,GPE,0.08021390,0.30659537,en,1.70000000,4017243-0,660013,A,64.00000000,26.00000000,EUROPE,Finland,NEU
Texas,Texas,GPE,-0.12053571,0.44642857,en,1.60000000,4059594-8,12217092,L,28.92040000,-98.57720000,CENTRAL-AMERICA,United States,NCA
Bolivia,Bolivia,GPE,0.07142857,0.47222222,en,1.40000000,4007607-6,3923057,A,-17.00000000,-65.00000000,SOUTH-AMERICA,Bolivia,SAM
Turkey,Turkey,GPE,0.00000000,0.00000000,en,1.30000000,4061163-2,298795,A,39.00000000,35.00000000,EUROPE-AFRICA,Turkey,MED
Oklahoma,Oklahoma,GPE,0.00000000,0.00000000,en,1.30000000,4043423-0,4544349,P,35.46756000,-97.51643000,NORTH-AMERICA,United States,CNA
Chad,Chad,GPE,0.00000000,0.00000000,en,1.30000000,4061074-3,2434508,A,15.00000000,19.00000000,AFRICA,Chad,SAH
Kansas,Kansas,GPE,0.00000000,0.00000000,en,1.30000000,4114131-3,4273857,A,38.50029000,-98.50063000,NORTH-AMERICA,United States,CNA
Arctic,Arctic,LOC,0.61111111,0.90277778,en,1.20000000,,0,,,,,,
Pentecost,Pentecost,GPE,0.00000000,0.00000000,en,1.00000000,,6639021,T,-77.50000000,160.68333000,POLAR,Antarctica,EAN
Loppa,Loppa,GPE,0.00000000,1.00000000,en,1.00000000,,778877,A,70.23952000,22.35136000,EUROPE,Norway,NEU
Dovrefjell,Dovrefjell,GPE,-0.03333333,0.13333333,en,1.00000000,4437693-5,3159048,T,62.10000000,9.41667000,EUROPE,Norway,NEU
Rakhine,Rakhine,GPE,-0.40000000,0.60000000,en,1.00000000,,1298852,A,19.00000000,94.25000000,ASIA,Myanmar,SEA
Byglandsfjord,Byglandsfjord,GPE,0.00000000,0.00000000,en,1.00000000,,3159580,P,58.66613000,7.81311000,EUROPE,Norway,NEU
Valle,Valle,GPE,0.00000000,0.00000000,en,1.00000000,4094870-5,3687925,P,3.43054000,-76.51990000,SOUTH-AMERICA,Colombia,NWS
Pacific,Pacific,LOC,-0.15000000,0.45833333,en,1.00000000,,0,,,,,,
Los Angeles,Los Angeles,GPE,0.00000000,0.00000000,en,1.00000000,4036361-2,5368361,P,34.05223000,-118.24368000,NORTH-AMERICA,United States,WNA
